IP,Latitude,Longitude,City,Country
160.242.19.254,-8.82488,13.3132,Cazenga,Angola
41.110.39.130,35.3777,7.043,Khenchela,Algeria
213.158.175.240,30.0383,31.2102,Giza,Egypt
102.214.66.39,12.3729,-1.5264,Ouagadougou,Burkina Faso
102.214.66.19,12.3729,-1.5264,Ouagadougou,Burkina Faso
212.60.92.134,13.265,-16.6505,Brikama,Gambia
105.235.237.2,3.75496,8.78213,Malabo,Equatorial Guinea
speed.mymanga.pro,-1.2841,36.8155,Nairobi,Kenya
speedtestfl.telecom.mu,-20.2494,57.4879,Ebene CyberCity,Mauritius
speedtest.telecom.mu,-20.166,57.5025,Port Louis,Mauritius
41.226.22.119,36.7496,10.2126,Ben Arous,Tunisia
41.210.185.162,0.321,32.5714,Kampala,Uganda
169.150.238.161,-26.2309,28.0583,Johannesburg,South Africa
69.48.239.124,-26.2309,28.0583,Johannesburg,South Africa
86.96.154.106,25.0734,55.2979,Dubai,United Arab Emirates
23.249.55.42,25.0734,55.2979,Dubai,United Arab Emirates
69.48.238.200,25.0734,55.2979,Dubai,United Arab Emirates
84.17.57.129,22.3193,114.169,Hong Kong,Hong Kong
23.249.58.14,22.3193,114.169,Hong Kong,Hong Kong
speedtest.hkg12.hk.leaseweb.net,22.3656,114.119,Tsuen Wan,Hong Kong
iperf.scbd.net.id,-6.2114,106.8446,Jakarta,Indonesia
103.185.255.183,5.203,96.7009,Bireun,Indonesia
169.150.202.193,32.0804,34.7807,Tel Aviv,Israel
speed.netfiber.net.il,31.7674,35.2186,Jerusalem,Israel
speed.rimon.net.il,31.7674,35.2186,Jerusalem,Israel
23.249.61.122,12.9753,77.591,Bengaluru,India
69.48.236.198,18.5211,73.8502,Pune,India
89.187.160.1,35.6893,139.6899,Tokyo,Japan
23.249.60.154,35.6893,139.6899,Tokyo,Japan
66.35.31.81,35.6893,139.6899,Tokyo,Japan
speedtest.tyo11.jp.leaseweb.net,35.6893,139.6899,Tokyo,Japan
89.187.162.1,1.35208,103.82,Singapore,Singapore
96.45.38.22,1.35208,103.82,Singapore,Singapore
speedtest.sin1.sg.leaseweb.net,1.27998,103.842,Singapore,Singapore
sgp.proof.ovh.net,1.27994,103.849,Singapore,Singapore
speedtest.singnet.com.sg,1.29229,103.808,Singapore,Singapore
156.146.52.1,41.0146,28.9532,Istanbul,Türkiye
69.48.237.66,41.0146,28.9532,Istanbul,Türkiye
speedtest.uztelecom.uz,41.3044,69.2346,Tashkent,Uzbekistan
185.180.12.40,48.2049,16.3662,Vienna,Austria
lg.vie.alwyzon.net,48.277,16.4048,Vienna,Austria
207.211.214.65,50.8534,4.347,Brussels,Belgium
37.19.203.1,42.6826,23.3223,Sofia,Bulgaria
t5.cscs.ch,47.3823,8.5397,Zurich,Switzerland
89.187.165.1,47.3643,8.5437,Zurich,Switzerland
speedtest.init7.net,47.2576,8.6119,Horgen,Switzerland
212.60.47.34,47.0594,7.4087,Rapperswil,Switzerland
speedtest.shinternet.ch,47.6934,8.6473,Feuerthalen,Switzerland
speedtest.iway.ch,47.3934,8.5163,Zurich,Switzerland
185.152.65.113,50.0883,14.4124,Prague,Czechia
85.163.71.241,49.1953,16.6016,Brno,Czechia
fra.speedtest.clouvider.net,50.0971,8.5952,Frankfurt am Main,Germany
185.102.219.93,50.1169,8.6837,Frankfurt am Main,Germany
178.215.228.109,50.1049,8.6295,Frankfurt am Main,Germany
96.45.39.38,50.1169,8.6837,Frankfurt am Main,Germany
spd-desrv.hostkey.com,50.1169,8.6837,Frankfurt am Main,Germany
speedtest.ip-projects.de,50.1109,8.68213,Frankfurt am Main,Germany
speedtest.fra1.de.leaseweb.net,50.097,8.63004,Frankfurt am Main,Germany
